event_id,timestamp,session_id,original_assignment,proposed_classification,proposed_parent,confidence,evidence_basis,boundary_or_exclusion_reason,review_status
A001+A002,2026-06-23 00:45:00,S-CONF-1,null,new_incident,PROPOSED-CONF-00A,High,"Contains language clarifying earlier Ned dispute","null",proposed
A003,2026-06-23 00:46:00,S-CONF-1,null,new_incident,PROPOSED-CONF-00A,High,"Contains language clarifying earlier Ned dispute","null",proposed
A004,2026-06-23 00:47:00,S-CONF-1,null,new_incident,PROPOSED-CONF-00A,High,"Contains language clarifying earlier Ned dispute","null",proposed
A005,2026-06-23 00:48:00,S-CONF-1,null,new_incident,PROPOSED-CONF-00A,High,"Contains language clarifying earlier Ned dispute","null",proposed
A006+A007,2026-06-23 00:48:00,S-CONF-1,null,new_incident,PROPOSED-CONF-00A,High,"Contains language clarifying earlier Ned dispute","null",proposed
A008,2026-06-23 00:53:00,S-CONF-1,null,new_incident,PROPOSED-CONF-00A,High,"Contains language clarifying earlier Ned dispute","null",proposed
A009,2026-06-23 00:56:00,S-CONF-1,null,new_incident,PROPOSED-CONF-00A,High,"Contains language clarifying earlier Ned dispute","null",proposed
A010,2026-06-23 00:57:00,S-CONF-1,null,new_incident,PROPOSED-CONF-00A,High,"Contains language clarifying earlier Ned dispute","null",proposed
G008,2026-06-23 01:02:58,S-CONF-1,null,new_incident,PROPOSED-CONF-00A,High,"Contains language clarifying earlier Ned dispute","null",proposed
G054,2026-06-23 01:06:36,S-CONF-1,null,new_incident,PROPOSED-CONF-00A,High,"Contains language clarifying earlier Ned dispute","null",proposed
A012,2026-06-23 02:57:00,S-CONF-2,null,new_incident,PROPOSED-CONF-00B,Medium,"Escalates earlier Ned dispute into gaslighting claims","null",proposed
A013,2026-06-23 02:58:00,S-CONF-2,null,new_incident,PROPOSED-CONF-00B,Medium,"Escalates earlier Ned dispute into gaslighting claims","null",proposed
A014,2026-06-23 03:10:00,S-CONF-2,null,new_incident,PROPOSED-CONF-00B,Medium,"Escalates earlier Ned dispute into gaslighting claims","null",proposed
A015,2026-06-23 03:12:00,S-CONF-2,null,new_incident,PROPOSED-CONF-00B,Medium,"Escalates earlier Ned dispute into gaslighting claims","null",proposed
A016,2026-06-23 03:27:00,S-CONF-2,null,new_incident,PROPOSED-CONF-00B,Medium,"Escalates earlier Ned dispute into gaslighting claims","null",proposed
A017,2026-06-23 03:27:00,S-CONF-2,null,new_incident,PROPOSED-CONF-00B,Medium,"Escalates earlier Ned dispute into gaslighting claims","null",proposed
A018+A019,2026-06-23 03:28:00,S-CONF-2,null,new_incident,PROPOSED-CONF-00B,Medium,"Escalates earlier Ned dispute into gaslighting claims","null",proposed
A020,2026-06-23 03:30:00,S-CONF-2,null,new_incident,PROPOSED-CONF-00B,Medium,"Escalates earlier Ned dispute into gaslighting claims","null",proposed
